,电影名称,年份,年度票房,国家地区,主类型,作品类型,片长,导演,演员
120,星际迷航:暗黑无界,2013,35293.98,美国,科幻,科幻/动作/冒险,132,J·J·艾布拉姆斯,克里斯·派恩/扎克瑞·昆图/本尼迪克特·康伯巴奇/卡尔·厄本
121,普罗米修斯,2012,22321.1,美国,科幻,科幻/动作/恐怖,122,雷德利·斯科特,劳米·拉佩斯/迈克尔·法斯宾德/查理兹·塞隆/帕特里克·威尔森
122,晴雅集,2020,36891.54,中国,动作,动作/爱情/玄幻,132,郭敬明/古容,赵又廷/邓伦/王子文/春夏/汪铎/孙晨竣
123,智取威虎山,2014,45527.08,中国,动作,动作/战争/冒险/主旋律,141,徐克,张涵予/林更新/梁家辉/余男
124,末日崩塌,2015,62967.34,美国,灾难,灾难/惊悚/动作/冒险,114,布拉德·佩顿,道恩·强森/亚历珊德拉·达达里奥/艾恩·格拉法德/科尔顿·海恩斯
125,李茂扮太子,2022,46222.72,中国,喜剧,喜剧/古装,100,高可/杨晓明,马丽/常远/艾伦/魏翔/王成思
126,极限特工:终极回归,2017,112741.04,美国,动作,动作/冒险,107,D·J·卡卢索,范·迪塞尔/塞缪尔·杰克逊/康纳·麦格雷戈/迪皮卡·帕度柯妮/托尼·贾
127,毒液:致命守护者,2018,187013.18,美国,动作,动作/科幻/惊悚,107,鲁本·弗雷斯彻,托弗·戈瑞斯/汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德
128,比悲伤更悲伤的故事,2019,95792.07,中国,爱情,爱情,105,林孝谦,陈意涵/刘以豪/张书豪
129,沐浴之王,2020,40254.65,中国,喜剧,喜剧/动作,103,易小星,彭昱畅/乔杉/金世佳/卜冠今/苇青/洪剑涛/桑平
130,泰坦尼克号3D,2012,94620.45,美国,爱情,爱情/灾难/剧情,194,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨
131,流浪地球,2019,468150.37,中国,科幻,科幻/冒险,125,郭帆,吴京/屈楚萧/李光洁/吴孟达/赵今麦/隋凯/屈菁菁
132,流浪地球2,2023,403027.0,中国,科幻,科幻/冒险/灾难,173,郭帆,吴京/刘德华/李雪健/沙溢/宁理
133,海王,2018,185217.7,美国,动作,动作/科幻/冒险,143,温子仁,杰森·莫玛/艾梅柏·希尔德/帕特里克·威尔森/威廉·达福
134,消失的她,2023,352669.3,中国,剧情,剧情/悬疑/犯罪/友情,121,崔睿/刘翔,朱一龙/倪妮/文咏珊/杜江/黄子琪/祝海钰
135,深海,2023,91975.83,中国,动画,动画/奇幻,112,田晓鹏/金大勇/崔丽/刘振乾/范凯/刘虎/玄新影/胡世超/吴华,苏鑫/王亭文/滕奎兴/杨婷/吉静/郭浩然/田晓鹏/董一/方韬辰
136,温暖的抱抱,2021,66953.33,中国,喜剧,喜剧/爱情,112,常远,常远/李沁/沈腾/乔杉/田雨/王智/魏翔
137,港囧,2015,161353.64,中国,喜剧,喜剧/怀旧,114,徐峥/阮惟新,徐峥/包贝尔/葛民辉/杜鹃/李灿森/潘虹
138,湄公河行动,2016,118417.45,中国,动作,动作/犯罪/剧情/主旋律,124,林超贤/缪健德,张涵予/彭于晏/冯文娟/孙淳
139,满江红,2023,454588.76,中国,剧情,剧情/喜剧/悬疑/古装,159,张艺谋,沈腾/易烊千玺/张译/雷佳音/岳云鹏
140,澳门风云,2014,52470.41,中国,喜剧,喜剧/动作,93,王晶/钟少雄,周润发/谢霆锋/杜汶泽/景甜
141,澳门风云2,2015,97484.66,中国,喜剧,喜剧/动作,110,王晶/张敏/阚家伟,周润发/刘嘉玲/王诗龄/张家辉/余文乐/胡然
142,澳门风云3,2016,111817.63,中国,喜剧,喜剧/动作,112,王晶/刘伟强/王天娇/钟少雄,周润发/刘德华/张学友/李宇春
143,火星救援,2015,58690.21,美国,科幻,科幻/动作/冒险,144,雷德利·斯科特/卢克·斯科特,马特·达蒙/杰西卡·查斯坦/塞巴斯蒂安·斯坦/阿卡塞尔·亨涅
144,烈火英雄,2019,170338.71,中国,灾难,灾难/抢险/动作/爱情/亲情/主旋律,120,陈国辉,黄晓明/杜江/谭卓/侯勇/印小天
145,热烈,2023,91376.32,中国,剧情,剧情/励志/青春/竞技,124,大鹏,黄渤/王一博/刘敏涛/岳云鹏/小沈阳/张子贤/宋祖儿
146,煎饼侠,2015,116030.91,中国,喜剧,喜剧/爱情,113,大鹏,大鹏/袁姗姗/柳岩/尚格·云顿/郭采洁
147,熊出没·伴我“熊芯”,2023,149594.24,中国,动画,动画/喜剧/科幻,96,林永长/邵和麒,张秉君/谭笑/张伟/缪莹莹/贾晨露
148,熊出没·重返地球,2022,97830.21,中国,动画,动画/喜剧/科幻,95,林汇达/彭寅/张秉君/谭笑,张秉君/张伟/谭笑/李婉瑶/程子洋/刘思奇
149,爸爸去哪儿,2014,69628.15,中国,剧情,剧情/真人秀/亲情/综艺大电影,95,谢涤葵/林妍,林志颖/田亮/郭涛/王岳伦
150,特种部队2:全面反击,2013,33805.86,中国,动作,动作/冒险/科幻,110,朱浩伟,雷·帕克/查宁·塔图姆/李秉宪/道恩·强森/布鲁斯·威利斯/阿德琳妮·帕里奇
151,狂暴巨兽,2018,100395.05,美国,动作,动作/科幻,107,布拉德·佩顿,道恩·强森/娜奥米·哈里斯/乔·曼根尼罗/玛丽·谢尔顿
152,狄仁杰之神都龙王,2013,60077.71,中国,动作,动作/古装/悬疑,128,徐克,赵又廷/冯绍峰/杨颖/林更新/刘嘉玲
153,狙击手,2022,60832.02,中国,剧情,剧情/动作/战争/主旋律,96,张艺谋/张末,陈永胜/章宇/刘奕铁/黄炎/王梓屹
154,独行月球,2022,310476.16,中国,喜剧,喜剧/科幻,121,张吃鱼,沈腾/马丽/郝瀚/常远/李诚儒/黄才伦/黄子韬
155,狼图腾,2015,69960.24,中国/法国,剧情,剧情/冒险,121,让·雅克·阿诺,冯绍峰/窦骁/尹铸胜/昂哈妮玛
156,猩球崛起2:黎明之战,2014,70921.75,美国,科幻,科幻/动作,140,马特·里夫斯/布莱德利·帕克,安迪·瑟金斯/加里·奥德曼/杰森·克拉克/朱迪·格雷尔
157,猩球崛起3:终极之战,2017,73978.18,美国,动作,动作/冒险/科幻/剧情,140,马特·里夫斯,安迪·瑟金斯/朱迪·格雷尔/伍迪·哈里森/泰瑞·诺塔里
158,环太平洋,2013,69464.8,美国,科幻,科幻/冒险/动作,131,Guillermo del Toro,查理·汉纳姆/菊地凛子/伊德瑞斯·艾尔巴/朗·普尔曼
159,生化危机:终章,2017,111181.73,美国/德国,科幻,科幻/动作,99,保罗·安德森,米拉·乔沃维奇/伊恩·格雷/肖恩·罗伯茨/鲁比·罗丝
160,画皮2,2012,70210.3,中国,爱情,爱情/奇幻/悬疑,135,乌尔善/任永强,周迅/陈坤/赵薇/杨幂
161,疯狂动物城,2016,153032.88,美国,动画,动画/冒险,108,杰拉德·布什/拜伦·霍华德/瑞奇·摩尔,金妮弗·古德温/杰森·贝特曼/艾伦·图代克/夏奇拉
162,疯狂原始人,2013,39472.32,美国,动画,动画/冒险/喜剧,98,克里斯·桑德斯/柯克·德·米科,尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克劳斯·利特曼
163,疯狂原始人2,2020,33802.62,美国,动画,动画/冒险/喜剧,96,克里斯·桑德斯/柯克·德·米科/乔尔·克劳福德,凯特:·戴琳斯/克劳斯·利特曼/克劳斯·利特曼
164,疯狂的外星人,2019,221275.04,中国,喜剧,喜剧/科幻,116,宁浩/刘十六,黄渤/沈腾/汤姆·派福瑞/马修·莫里森
165,白蛇2:青蛇劫起,2021,58013.74,中国,动画,动画/奇幻/冒险,131,黄家康,张喆/马程/林强/徐佳琦/张碧玉/宝木中阳/魏超
166,盗墓笔记,2016,100439.45,中国,奇幻,奇幻/悬疑,123,李仁港,井柏然/马思纯/王景春/鹿晗
167,碟中谍4,2012,67219.44,美国,动作,动作/冒险/惊悚,133,布拉德·伯德,汤姆·克鲁斯/宝拉·巴顿/杰瑞米·雷纳/西蒙·佩吉
168,碟中谍5:神秘国度,2015,86976.89,中国/美国,动作,动作/冒险/惊悚,131,克里斯托弗·麦奎里,汤姆·克鲁斯/丽贝卡·弗格森/杰瑞米·雷纳/西蒙·佩吉/亚历克·鲍德温
169,碟中谍6:全面瓦解,2018,124521.67,美国,动作,动作/惊悚/冒险,148,克里斯托弗·麦奎里,汤姆·克鲁斯/丽贝卡·弗格森/杰瑞米·雷纳/亨利·卡维尔
170,神偷奶爸3,2017,103780.33,美国,动画,动画/喜剧,90,凯尔·巴尔达/皮埃尔·柯芬/埃里克·吉隆,崔·帕克/史蒂夫·卡瑞尔/克里斯汀·韦格/米兰达·卡斯格拉夫/安迪·尼曼
171,神探大战,2022,71224.07,中国,剧情,剧情/悬疑/动作/犯罪,101,韦家辉,刘青云/蔡卓妍/林峯/李若彤/谭凯/汤怡
172,私人订制,2013,58871.5,中国,喜剧,喜剧,118,冯小刚/张晴帆/左懿,葛优/白百何/李小璐/王宝强/范伟/宋丹丹
173,穿过寒冬拥抱你,2022,66564.09,中国,剧情,剧情/爱情/主旋律,124,薛晓路,黄渤/贾玲/朱一龙/徐帆/高亚麟
174,紧急救援,2020,43860.83,中国,剧情,剧情/灾难,134,林超贤,彭于晏/王彦霖/辛芷蕾/蓝盈莹/王雨甜/徐洋/李岷城
175,红海行动,2018,365077.8,中国,动作,动作/剧情/犯罪/主旋律,138,林超贤,张译/海清/黄景瑜/杜江
176,终结者:创世纪,2015,72535.83,美国,科幻,科幻/动作/冒险,126,阿兰·泰勒,阿诺德·施瓦辛格/艾米莉亚·克拉克/杰·科特尼
177,绝地逃亡,2016,88938.11,中国/美国,动作,动作/喜剧/冒险,120,雷尼·哈林,成龙/范冰冰/郭品超/施诗
178,美人鱼,2016,339209.93,中国,喜剧,喜剧/爱情/科幻/怀旧,93,周星驰/林子聪,邓超/张雨绮/罗志祥/林允
179,美国队长2:冬日战士,2014,71853.04,美国,动作,动作/冒险/科幻,133,安东尼·罗素/乔·罗素,克里斯·埃文斯/塞巴斯蒂安·斯坦/斯嘉丽·约翰逊/塞缪尔·杰克逊
180,美国队长3:英雄内战,2016,124624.53,美国,动作,动作/科幻/冒险,148,安东尼·罗素/乔·罗素,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦
181,羞羞的铁拳,2017,220174.87,中国,喜剧,喜剧/奇幻,100,张吃鱼/宋阳,马丽/沈腾/艾伦/田雨/薛皓文/常远
182,致我们终将逝去的春,2013,71909.57,中国,爱情,爱情/青春,132,牛超/张博维,赵又廷/韩庚/杨子姗/韩红/张瑶
183,花木兰,2020,27733.11,美国/中国,剧情,剧情/冒险/亲情/动作,115,妮琪·卡罗/恩加尔·伍兹/海伦·吴,刘亦菲/甄子丹/李截/安佑森/巩俐
184,芳华,2017,118754.16,中国,战争,战争/剧情/爱情,136,冯小刚,黄轩/苗苗/钟楚曦/杨采钰/李晓峰
185,蚁人,2015,67175.5,美国,科幻,科幻/动作/冒险,117,佩顿·里德,保罗·路德/迈克尔·道格拉斯/伊万杰琳·莉莉/寇瑞·斯托尔
186,蚁人2:黄蜂女现身,2018,83155.66,美国/英国,动作,动作/科幻/冒险,118,佩顿·里德,保罗·路德/伊万杰琳·莉莉/迈克尔·道格拉斯/迈克尔·佩纳
187,蜘蛛侠:英雄归来,2017,77413.86,美国,动作,动作/科幻/冒险/奇幻,133,乔·沃茨,汤姆·赫兰德/玛丽莎·托梅/赞达亚/小罗伯特·唐尼/迈克尔·基顿
188,蜘蛛侠:英雄远征,2019,141750.77,美国,动作,动作/科幻/冒险,135,乔·沃茨,汤姆·赫兰德/赞达亚/杰克·吉伦哈尔/玛丽莎·托梅/迈克尔·基顿/寇碧·史莫德斯
189,蝙蝠侠:黑暗骑士崛起,2012,33878.0,美国/英国,动作,动作/犯罪/剧情/惊悚,165,克里斯托弗·诺兰,克里斯蒂安·贝尔/汤姆·哈迪/约瑟夫·高登-莱维特/安妮·海瑟薇
190,西游伏妖篇,2017,165592.64,中国,奇幻,奇幻/动作/喜剧,108,徐克,吴亦凡/林更新/姚晨/包贝尔/巴特尔
191,西游记之大圣归来,2015,95642.89,中国,动画,动画/动作,90,田晓鹏,张磊/林子杰/吴文伦/童自荣/刘九容
192,西游记之大闹天宫,2014,104549.01,中国,奇幻,奇幻/动作/爱情,119,郑保瑞,张优/海一天/庾澄庆/吴汉章
193,西游记之孙悟空三打白骨精,2016,120100.8,中国,动作,动作/奇幻/喜剧,120,郑保瑞,郭富城/巩俐/冯绍峰/小沈阳
194,西游降魔篇,2013,124698.53,中国,奇幻,奇幻/喜剧/冒险,110,郭子健/周星驰/张超理,黄渤/舒淇/文章/罗志祥/周秀娜
195,西虹市首富,2018,254757.16,中国,喜剧,喜剧,118,闫非/彭大魔,沈腾/宋芸桦/张一鸣/张晨光
196,警察故事2013,2013,34536.67,中国,动作,动作/警匪,107,丁晟/陈木胜,成龙/景甜/刘烨/周晓鸥/那威/刘仪伟/殷桃/古力娜扎
197,误杀,2019,133399.8,中国,剧情,剧情/犯罪,112,柯汶利,肖央/谭卓/陈冲/许文珊/张熙然/姜皓文
198,误杀2,2021,112170.45,中国,剧情,剧情/家庭/犯罪,118,戴墨/张喆,肖央/任达华/文咏珊/陈雨锶/宋洋/李治廷
199,谍影重重4,2012,21314.7,美国,动作,动作/冒险/惊悚,135,保罗·格林格拉斯/托尼·吉尔罗伊,马特·达蒙/杰瑞米·雷纳/爱德华·诺顿/董切尔·薇兹
200,超人:钢铁之躯,2013,39448.49,美国,动作,动作/科幻/冒险,143,扎克·施奈德,亨利·卡维尔/艾米·亚当斯/罗素·克劳/凯文·科斯特纳/克里斯托弗·米洛尼
201,超凡蜘蛛侠,2012,31051.6,美国,科幻,科幻/动作/冒险/惊悚,152,山姆·雷米/马克·韦布,艾玛·斯通/安德魯·加菲尔德/斯坦·李/瑞斯·伊凡斯
202,超凡蜘蛛侠2,2014,58558.65,美国,科幻,科幻/动作/冒险,141,马克·韦布,安德鲁·加菲尔德/艾玛·斯通/杰米·福克斯/戴恩·德哈恩
203,超时空同居,2018,89988.43,中国,奇幻,奇幻/爱情/喜剧,101,苏伦,雷佳音/佟丽娅/徐峥/陶虹
204,超级战舰,2012,31010.73,美国,动作,动作/科幻,125,彼得·博格,blo Helman / David Lingenfelser连姆·尼森/Alexander Skarsg&#229;rd/泰勒·克奇/Brooklyn Decker
205,这个杀手不太冷静,2022,262919.47,中国,喜剧,喜剧,109,邢文雄,马丽/魏翔/周大勇/黄才伦/艾伦/陈明吴
206,送你—朵小红花,2021,119591.04,中国,剧情,剧情/家庭,128,韩延,易炸千玺/刘浩存/朱媛媛/高亚麟/夏雨
207,速度与激情10,2023,98540.64,美国,动作,动作/惊悚/犯罪,141,路易斯·莱特里尔,范·迪塞尔/米歇尔·罗德里格兹/杰森·莫玛/布丽·拉尔森/查理兹·塞隆/杰森·斯坦森
208,速度与激情6,2013,41330.47,美国,动作,动作/犯罪/冒险,130,林诣彬,范·迪塞尔/保罗·沃克/道恩·强森/卢克·伊万斯/米歇尔·罗德里格兹
209,速度与激情7,2015,242658.3,美国/日本,动作,动作/犯罪,138,温子仁,范·迪塞尔/保罗·沃克/道恩·强森/杰森·斯坦森/米歇尔·罗德里格兹/乔丹娜·布鲁斯特
210,速度与激情8,2017,267095.62,美国,动作,动作/犯罪,136,F·加里·格雷,范·迪塞尔/杰森·斯坦森/道恩·强森/米歇尔·罗德里格兹/泰瑞斯·吉布森
211,速度与激情9,2021,139233.41,美国,动作,动作/犯罪/冒险,142,林诣彬,范迪塞尔/卢卡斯·布莱克/泰瑞斯·吉布森/米歇尔·罗德里格兹/
212,速度与激情:特别行动,2019,143430.07,美国,动作,动作/冒险/犯罪,134,大卫·雷奇,道恩·强森/杰森·斯坦森/伊德瑞斯·艾尔巴/艾莎·冈萨雷斯/凡妮莎·柯比/海伦·米伦
213,金刚:骷髅岛,2017,116049.92,美国,动作,动作/奇幻/冒险,119,乔丹·沃格特-罗伯茨,汤姆·希德勒斯顿/布丽·拉尔森/科瑞·霍金斯/塞缪尔·杰克逊/约翰·古德曼
214,金刚川,2020,112288.74,中国,剧情,剧情/历史/战争/主旋律,122,管虎/郭帆/路阳/田羽生,张译/吴京/李九霄/魏晨/邓超/邱天/周思羽/欧豪
215,金刚狼3:殊死—战,2017,73162.94,美国,动作,动作/科幻,123,詹姆斯·曼高德,休·杰克曼/帕特里克·斯图尔特/波伊德·霍布鲁克/理查德·格兰特
216,钢铁侠3,2013,75486.34,美国/中国,科幻,科幻/动作/冒险,134,刘静仪/沙恩·布莱克,格温妮斯·帕特洛/詹姆斯·戴尔/伊芳·齐玛/李斯羽/布鲁克·杰伊·泰勒
217,铃芽之旅,2023,80822.25,日本,动画,动画,121,新海诚,原菜乃华/松村北斗/深津绘里/染谷将太
218,银河护卫队,2014,59600.91,美国,动作,动作/冒险/科幻,122,詹姆斯·古恩,克里斯·帕拉特/佐伊·索尔达娜/布莱德利·库珀/戴夫·巴蒂斯塔
219,银河补习班,2019,87772.26,中国,剧情,剧情/亲情/家庭,147,邓超/俞白眉,邓超/孙淞伦/冯泽昂/白宇/任素汐
220,长城,2016,97937.33,美国/中国,奇幻,奇幻/动作/冒险,104,张艺谋/刘静仪,鹿晗/马特·达蒙/威廉·达福/佩德罗·帕斯卡
221,长安三万里,2023,182539.97,中国,动画,动画/历史,167,谢君伟/邹靖,杨天翔/凌振赫/吴俊全/宣晓鸣/卢力峰
222,长津湖,2021,577282.93,中国,剧情,剧情/战争/历史/主旋律,176,陈凯歌/徐克/林超贤,吴京/易祥千玺/段奕宏/朱亚文/李晨/胡军/韩东君/张涵予/黄轩/欧豪
223,长津湖之水门桥,2022,406922.43,中国,战争,战争/历史/主旋律,149,徐克,吴京/易烊千玺/朱亚文/李晨
224,长空之王,2023,85033.4,中国,剧情,剧情/动作/主旋律,128,刘晓世,王一博/胡军/周冬雨/于适/卜钰/翟宇佳/王子宸/芦鑫/曲哲明/田壮壮
225,阿丽塔:战斗天使,2019,89697.79,美国/加拿大,动作,动作/科幻/冒险,122,罗伯特·罗德里格兹,罗莎·萨拉扎尔/克里斯托弗·瓦尔兹/马赫沙拉·阿里/詹妮弗·康纳利/基恩·约翰逊
226,阿凡达:水之道,2022,169750.34,美国,动作,动作/科幻/冒险,190,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗
227,除暴,2020,53761.28,中国,动作,动作/犯罪/警匪,95,刘浩良/何耀良,王千源/吴彦祖/春夏/卫诗雅/大力
228,雷神2:黑暗世界,2013,34239.64,美国,动作,动作,112,阿兰·泰勒/蒂姆·米勒/詹姆斯·古恩,克里斯·海姆斯沃斯/娜塔莉·波特曼/汤姆·希德勒斯顿/伊德瑞斯·艾尔巴
229,雷神3:诸神黄昏,2017,74302.9,美国,动作,动作/冒险/奇幻,125,塔伊加·维迪提,克里斯·海姆斯沃斯/汤姆·希德勒斯顿/杰米·亚历山大/马克·鲁法洛
230,霍比特人2:史矛革之战,2014,46270.59,美国/新西兰,奇幻,奇幻/冒险/剧情/动作,161,彼得·杰克逊/安迪·瑟金斯,马丁·弗瑞曼/伊恩·麦克莱恩/奥兰多·布鲁姆/理查德·阿米蒂奇
231,霍比特人3:五军之战,2015,76649.78,美国/新西兰,奇幻,奇幻/冒险/动作,144,彼得·杰克逊/安迪·瑟金斯,马丁·弗瑞曼/伊恩·麦克莱恩/本尼迪克特·康伯巴奇/卢克·伊万斯
232,飞驰人生,2019,172732.64,中国,喜剧,喜剧/动作,98,韩寒,沈腾/黄景瑜/尹正/尹防/田雨/腾格尔
233,魔兽,2016,147214.29,美国,动作,动作/冒险/奇幻,124,邓肯·琼斯,宝拉·巴顿/崔维斯·费米尔/本·福斯特/托比·凯贝尔
234,黑衣人3,2012,50342.59,美国,动作,动作/喜剧/科幻,103,巴里·索南菲尔德,汤米·李·琼斯/乔什·布洛林/杰玛·阿特登/艾玛·汤普森
